company_size,count_salary_from_pln,mean_salary_from_pln,median_salary_from_pln,min_salary_from_pln,max_salary_from_pln,std_salary_from_pln
3000,16,9196.875,7500.0,6000.0,18000.0,3955.8593145695486
3000+,10,11830.0,13250.0,6150.0,17000.0,3611.801643378428
330,14,20357.14285714286,21000.0,15000.0,25000.0,3433.032811627976
35,9,12666.666666666666,10000.0,10000.0,16000.0,3162.2776601683795
35+,36,27041.666666666668,29000.0,12500.0,29000.0,5149.722600018651
35-40,22,10000.0,10000.0,8000.0,12000.0,2047.065262876635
350,6,19166.666666666668,20000.0,11000.0,22000.0,4119.061381755152
350+,15,20168.0,20000.0,12000.0,27300.0,4062.7140822713222
350-500,4,5000.0,5000.0,5000.0,5000.0,0.0
3500,6,29500.0,27000.0,27000.0,42000.0,6123.724356957945
3600+,13,14000.615384615385,16000.0,6000.0,32000.0,7549.128311031033
38,5,18680.0,18680.0,18680.0,18680.0,0.0
40,71,20140.901408450703,18000.0,5604.0,42000.0,10939.114678404452
40+,74,14148.891891891892,12000.0,3200.0,30000.0,6404.766300031217
40-45,1,13000.0,13000.0,13000.0,13000.0,
40-50,56,15658.92857142857,17000.0,4500.0,22050.0,4676.295223035754
40-60,2,19500.0,19500.0,15000.0,24000.0,6363.961030678927
40-70,1,7000.0,7000.0,7000.0,7000.0,
400,6,15741.666666666666,18000.0,5000.0,21450.0,6169.312495462252
400+,118,15823.474576271186,16375.0,6000.0,25200.0,4382.834889690494
400-450,8,15000.0,15000.0,12000.0,18000.0,3207.1349029490925
400-500,9,10000.0,10000.0,10000.0,10000.0,0.0
4000,1,21000.0,21000.0,21000.0,21000.0,
41-50,1,12000.0,12000.0,12000.0,12000.0,
420,10,19300.0,20000.0,14000.0,24000.0,4110.960958218894
420+,1,12000.0,12000.0,12000.0,12000.0,
45,14,14010.0,14010.0,14010.0,14010.0,0.0
45-55,3,15200.0,15200.0,15200.0,15200.0,0.0
450,10,22763.464,24500.0,18000.0,27000.0,3327.587767214496
450+,20,17259.95,19000.0,7500.0,25200.0,4412.258766031414
450-500,6,12750.0,12500.0,11000.0,15000.0,1294.2179105544787
47,1,12000.0,12000.0,12000.0,12000.0,
470+,3,14000.0,14000.0,14000.0,14000.0,0.0
5,12,13240.0,13000.0,6000.0,26880.0,5316.895881826333
5 - 10,9,18444.444444444445,16000.0,10000.0,23000.0,4719.934086168765
5-10,25,13420.0,13000.0,8500.0,20000.0,1966.8079045329603
5-20,1,21000.0,21000.0,21000.0,21000.0,
5-50,6,27258.666666666668,29888.0,19000.0,29888.0,4493.567076017301
50,156,22358.55128205128,24000.0,4000.0,46700.0,10064.291173729589
50 - 100,3,8666.666666666666,9000.0,8000.0,9000.0,577.3502691896255
50 - 200,3,10000.0,10000.0,10000.0,10000.0,0.0
50 - 60,10,10900.0,10500.0,10000.0,15000.0,1449.137674618944
50 000,3,18700.0,18700.0,18700.0,18700.0,0.0
50 000+,1,10000.0,10000.0,10000.0,10000.0,
50+,186,19554.301075268817,20080.0,4000.0,32690.0,7781.377408513777
50-100,68,13582.35294117647,13000.0,7000.0,35000.0,5043.244074893307
50-200,5,17400.0,20000.0,9000.0,20000.0,4774.934554525329
50-60,6,19176.666666666668,21015.0,4000.0,27000.0,7810.936350186619
50-70,9,12611.111111111111,13000.0,6000.0,18000.0,3723.0513172814462
50-80,1,5000.0,5000.0,5000.0,5000.0,
500,83,9041.686746987953,7000.0,7000.0,32000.0,3912.2262451651245
500 - 600,19,14987.578947368422,12000.0,12000.0,23500.0,3486.217152600755
500+,101,17343.168316831685,17000.0,2400.0,38000.0,6044.165274162027
500-800,1,8000.0,8000.0,8000.0,8000.0,
5000+,16,15250.0,14000.0,9000.0,23000.0,3768.288736283354
5001 - 10 000,2,17000.0,17000.0,17000.0,17000.0,0.0
501+,6,23000.0,22000.0,21000.0,26000.0,2000.0
501-1000,63,23333.333333333332,23000.0,16000.0,30000.0,4554.331507902223
51-100,27,20796.296296296296,22000.0,8500.0,24000.0,3114.047759314788
51-200,30,16170.666666666666,18680.0,10000.0,20000.0,4490.47953305453
51-2000,1,24000.0,24000.0,24000.0,24000.0,
51-500,1,12000.0,12000.0,12000.0,12000.0,
55,1,20000.0,20000.0,20000.0,20000.0,
55-60,1,16000.0,16000.0,16000.0,16000.0,
550,26,14126.923076923076,14000.0,10000.0,18900.0,2392.372494793851
550+,5,15600.0,16000.0,14000.0,16000.0,894.427190999916
5500+,9,32222.222222222223,35000.0,25000.0,35000.0,3632.4157862838947
560,1,14500.0,14500.0,14500.0,14500.0,
6,2,10250.0,10250.0,8500.0,12000.0,2474.8737341529163
6 - 10,9,8000.0,8000.0,8000.0,8000.0,0.0
6-10,6,20500.0,20000.0,17000.0,28000.0,4037.32584763727
60,42,14661.138095238097,14750.0,6000.0,23400.0,4758.862617154689
60+,129,21222.243410852712,25000.0,5000.0,35025.0,10350.689883067009
60-70,5,18400.0,20000.0,12000.0,20000.0,3577.708763999664
60-80,9,10777.777777777777,11000.0,10000.0,13000.0,971.8253158075498
600,19,23210.526315789473,30000.0,4000.0,30000.0,8691.17654334569
600+,20,16513.8,17548.0,7000.0,30000.0,6228.825551206939
6000+,3,13000.0,13000.0,13000.0,13000.0,0.0
60000,4,15260.0,15120.0,14000.0,16800.0,1154.469575172945
60000+,3,18472.0,18816.0,15500.0,21100.0,2815.8039704496477
61,1,21450.0,21450.0,21450.0,21450.0,
62,2,13500.0,13500.0,11000.0,16000.0,3535.5339059327375
65,2,14725.0,14725.0,8000.0,21450.0,9510.586206959064
650,2,8000.0,8000.0,8000.0,8000.0,0.0
650+,1,24000.0,24000.0,24000.0,24000.0,
6500+,7,14000.0,14000.0,14000.0,14000.0,0.0
66.000,1,15000.0,15000.0,15000.0,15000.0,
6700-7000,1,21000.0,21000.0,21000.0,21000.0,
7 000+,22,18590.909090909092,19000.0,16000.0,19000.0,1053.7502599713132
70,21,16380.952380952382,16000.0,9000.0,21750.0,4952.662823938153
70+,33,14757.575757575758,16000.0,10000.0,20000.0,3588.438927917534
70-80,1,12000.0,12000.0,12000.0,12000.0,
70-90,4,14752.5,16005.0,9000.0,18000.0,4271.419553263294
700,17,15576.470588235294,16000.0,13650.0,17600.0,1254.0082793609788
700+,7,18514.285714285714,19000.0,13000.0,30000.0,5679.03412310831
700-900,1,16000.0,16000.0,16000.0,16000.0,
750,27,28032.59259259259,28560.0,9350.0,60480.0,13367.732847475727
750+,25,13600.0,13000.0,13000.0,28000.0,3000.0000000000005
7500+,2,14500.0,14500.0,14500.0,14500.0,0.0
8,2,7500.0,7500.0,5000.0,10000.0,3535.5339059327375
8 - 15,2,15000.0,15000.0,15000.0,15000.0,0.0
"8,000",77,19155.844155844155,18000.0,14000.0,27000.0,4042.748332589624
80,68,22020.882352941175,24000.0,8000.0,28020.0,5284.536081615195
80 - 100,1,12000.0,12000.0,12000.0,12000.0,
80+,58,16006.896551724138,17000.0,5880.0,26880.0,5075.326696561514
80-100,5,16600.0,16000.0,10000.0,22000.0,4669.047011971501
80-120,1,12000.0,12000.0,12000.0,12000.0,
80-90,1,10000.0,10000.0,10000.0,10000.0,
800,20,19474.2,20000.0,10080.0,26000.0,5135.301411745341
800+,194,21739.268041237112,23520.0,7300.0,38640.0,6401.329662741773
8000,1,13000.0,13000.0,13000.0,13000.0,
83,21,15285.714285714286,11000.0,11000.0,20000.0,4605.89684147243
85,41,18975.60975609756,18000.0,18000.0,20000.0,1012.1216546949455
850+,28,18142.85714285714,19000.0,8000.0,22000.0,3708.9909350945786
87,13,23384.615384615383,25000.0,18000.0,25000.0,3069.7030675746023
9,1,6500.0,6500.0,6500.0,6500.0,
9-50,1,21840.0,21840.0,21840.0,21840.0,
90,10,10500.0,10000.0,6000.0,20000.0,3628.59017617954
90 - 100,1,18000.0,18000.0,18000.0,18000.0,
90+,45,16244.444444444445,16100.0,7000.0,25000.0,4524.506781535599
90-100,13,16738.46153846154,16000.0,16000.0,19200.0,1403.292830891247
900+,24,15572.458333333334,15500.0,6000.0,30240.0,4350.066286143302
9000,1,23350.0,23350.0,23350.0,23350.0,
< 10,10,14000.0,14000.0,14000.0,14000.0,0.0
< 20,1,4000.0,4000.0,4000.0,4000.0,
< 30,1,25000.0,25000.0,25000.0,25000.0,
< 50,2,10200.0,10200.0,10200.0,10200.0,0.0
<10,27,11363.148148148148,12500.0,5000.0,19305.0,2942.8031992499377
<100,6,10883.333333333334,11000.0,8000.0,13300.0,1685.7243744653713
<20,68,12557.529411764706,10000.0,5000.0,22416.0,4166.881393963697
<200,8,19562.5,24000.0,8000.0,27500.0,9143.45003657966
<230,1,16000.0,16000.0,16000.0,16000.0,
<25,9,9340.0,9340.0,9340.0,9340.0,0.0
<30,5,14400.0,14000.0,14000.0,16000.0,894.4271909999158
<35,1,20000.0,20000.0,20000.0,20000.0,
<40 000,1,25000.0,25000.0,25000.0,25000.0,
<45,4,11250.0,10000.0,8000.0,17000.0,4272.001872658766
<50,15,11600.0,10000.0,8000.0,18000.0,3641.0359593311987
<600,12,26000.0,26000.0,26000.0,26000.0,0.0
<800,1,8000.0,8000.0,8000.0,8000.0,
>10,13,12676.923076923076,12000.0,5000.0,23000.0,3948.449874350238
>100,37,14398.378378378378,14600.0,7000.0,26000.0,3638.8471262761796
>110,3,6000.0,6000.0,6000.0,6000.0,0.0
>150,2,15000.0,15000.0,15000.0,15000.0,0.0
>180,4,20000.0,20000.0,20000.0,20000.0,0.0
>20,2,11500.0,11500.0,8000.0,15000.0,4949.747468305833
>200,2,7950.0,7950.0,5900.0,10000.0,2899.137802864845
>300,8,8000.0,8000.0,8000.0,8000.0,0.0
>30000,8,15312.5,17750.0,10000.0,18000.0,3690.600996353536
>40,4,21400.0,21400.0,21400.0,21400.0,0.0
>400,1,13000.0,13000.0,13000.0,13000.0,
>4000,1,6000.0,6000.0,6000.0,6000.0,
>50,9,13277.777777777777,12000.0,5000.0,30000.0,7137.537701787953
>500,1,36465.0,36465.0,36465.0,36465.0,
>700,26,25500.0,25500.0,25000.0,26000.0,509.9019513592764
>90,2,12500.0,12500.0,10000.0,15000.0,3535.5339059327375
