company,count
Veolia Centrum Usług Wspólnych,4
Esotiq & Henderson S.A.,4
Relia Sol,4
AFRY,4
Wonder Miles,4
YieldRiser,4
Yusen Logistics (Polska) Sp. z o.o.,4
Barry Callebaut SSC Europe Sp. z o.o.,4
Idego,4
BPX,4
Isolution,4
Anixe,4
GN,4
OpsTalent,4
Klika Tech sp. z o.o.,4
Inhabit,4
Clorce Solutions,4
IT Squad,4
Schulke Polska Sp. z o.o.,4
Sigmoidal,4
Apptio,4
Inn4tech Recruitment,4
Andea,4
Polska Press sp. z o.o.,4
Lead Investments Sp. z o.o.,4
Ciech Group,4
Cabify,4
Dabster Systems,4
Sedivio,4
Yggdrasil Gaming,4
Ignite Procurement,4
Motorola Solutions,4
Acturis Poland Sp. z o.o.,4
Alior Bank SA,4
Provectus,4
Web24.com.pl sp. z o.o.,4
HexOcean sp z.o.o.,4
IFIRMA S.A.,4
GuestTek,4
TALEX S.A.,4
Fingoweb,4
GRUPA TRANSPORTOWA,4
WILK ELEKTRONIK S.A.,4
Montrose Software (Polska) Sp.z.o.o,4
Omada Poland,4
Digiteum,4
Edgeteq,4
Fudo Security,3
iRonin.IT,3
Hostersi,3
Rentals United,3
Studio Software,3
Solid Bridge Solutions Sp. z o.o.,3
Upside,3
Envirly,3
Lerta,3
Aspire Systems Poland,3
Advox Studio,3
David Kennedy Recruitment,3
Vertex Solutions,3
Aon,3
Conscensia,3
Real Recruitment Solutions,3
House of Angular,3
Execon,3
NET PC sp. z o.o.,3
Mikronika,3
Carnect / MicronNexus GmbH,3
ADVA Optical Networking Sp. z o.o.,3
TeamQuest,3
Capco Poland,3
Eagle Eye Staffing Solutions,3
DRÄXLMAIER Polska,3
Prodensa Group,3
Craftware,3
Creanso,3
KOTRAK S.A.,3
PN standard,3
Hardware Direct,3
Detable,3
Droplo,3
Daftmobile,3
Square One,3
Deviniti,3
Omega Pilzno,3
Gerdes Technik,3
SoftwareHut Sp. z o.o.,3
Betsys,3
Net Innovation Software,3
Tink,3
OChK,3
Sikla Polska,3
On The Spot Development,3
GSK,3
eConsulting Sp. z o.o.,3
JSS associates,3
Program Kariera: staż w firmie Żabka,3
Innovation Software Sp. z o.o.,3
Finestmedia,3
Żabka Future,3
monday.com,3
Erbis,3
FORCOM Sp. z o.o.,3
Medius,3
Uniteam Sp. z o.o.,3
Infopulse,3
Eko-Okna S.A.,3
Cognite,3
S3 Connected Health,3
Coloplast Business Centre,3
INELO Polska,3
itCraft,3
Bitnoise,3
QTF (ex. QualityTaskForce),3
ITTI,3
Apilo,3
Senovo -It,3
BOLD PL,3
JOYNEXT,3
Mate academy,3
Waytogrow,3
Waynet,3
GeoComply,3
summ-it,3
RST sp. z o.o. sp.k.,3
Reliant Safety LLC,3
LiveKid,3
TRUMPF Huettinger Sp. z o.o.,3
STS,3
ZABBIX,3
FELG Software,3
Zarys International Group Sp.zo.o. Sp.k.,3
Appwise Software House,3
Match-Trade Technologies,3
FIBARO,3
NiceProject,3
Rescompany Systems,3
CFI World S. A.,3
DataArt,3
BlockLabs,3
MPC,3
QED Software,3
BNY Mellon (Poland) Sp. z o.o.,3
Acaisoft,3
4Experience Sp. z o. o.,3
P&P Solutions,3
NDI,3
Sente,3
Recruitee,3
Navigal Sp. z o.o.,3
Etos S.A.,3
Northpass,3
Devqube Sp. z o.o.,3
WearTech,3
ITS International Services Sp. z o.o.,3
Trodat Polska,3
Open Loyalty,3
ERGO Hestia,3
Apius Technologies S.A.,3
Janipol Meble Polska,3
JellyTech Sp. z o.o.,3
Circle K Business Centre,2
Kuehne+Nagel,2
Żabka Polska,2
FORDATA,2
C. H. Robinson,2
Adform Sp. z o.o.,2
Webellian Sp.z o o,2
Videoslots Ltd.,2
Surveily Sp. z.o. o.,2
PWPW S.A,2
Sorigo,2
Degree,2
L2BEAT,2
System Verification,2
Black Label,2
Ordersoft sp. z o.o.,2
Standard Chartered GBS Sp. z o.o.,2
Payfit,2
Efigence,2
DEVnet HPS,2
Nationale-Nederlanden,2
Apollogic,2
Vercom S.A.,2
Transition Technologies Science,2
Appwise,2
IDO Electronics,2
ATENEUM sp. z o.o. sp.j.,2
co.brick,2
DEVTALENTS,2
GameDev Tube,2
Grupa Komputronik,2
Besoftaware,2
The Dots Connected,2
Clever Grapes,2
HiQo Solutions,2
feedink.com,2
TSS,2
Goelett,2
Talpa Soft,2
eLeader Sp. z o.o.,2
Chainlink,2
Efigence S.A.,2
E.ON Polska IT Support,2
Banqsoft,2
Tietoevry ,2
Superdevs,2
EG EXTENSA sp. z o.o. sp.k.,2
SatRev S.A.,2
Onwelo S.A.,2
Flaire,2
Equiniti,2
GuideVision Polska,2
Leroy Merlin Polska,2
SoftKraft,2
Bluestone Poland Sp. z o.o.,2
Accenture ,2
Devbridge,2
SimCorp,2
Inuits,2
One Dynamics,2
Devapo,2
Mobile Reality,2
HR XPERIENCE Group,2
Cofinity,2
Nais,2
autoDNA,2
airSlate,2
Kingit,2
LeoVegas,2
Sylvamo,2
Tpay,2
Raiffeisen Bank International AG,2
Twisto Polska Sp. z o.o.,2
Flying Bisons,2
Recursive,2
Virtual People,2
VOLT | Open Banking Payments,2
artgeist sp zo.o.,2
SKYCASH POLAND S.A.,2
mTab Poland,2
Atman,2
NETlogic,2
MM Packaging Polska Sp.z o.o.,2
Adverity,2
Backbase,2
Orsted,2
WhitePress,2
Sdncenter Sp. z o.o.,2
Trans.eu Group SA,2
Mostly.AI,2
Zepter IT Sp. z o.o.,2
SPOC S.A.,2
MST sp. z o.o.,2
Exlabs Software Ltd,2
Wellbeing Polska,2
Palapa Technologies,2
Sportradar,2
Scenifi,2
Michael Page,2
BliskoPracy,2
Pointpack,2
Robotec.ai,2
Herbalife Nutrition,2
Sunscrapers ,2
Visa,2
GreenMinds Sp. z o.o.,2
Veolia,2
SYSTEGRA,2
ALAB laboratoria,2
POSTDATA,2
Dietly.pl,2
SOFLAB TECHNOLOGY,2
Zeto Software,2
Global4net,2
Bayt sp. z o.o. sp. k.,2
Fast White Cat,2
GET IT TOGETHER Sp. z o.o.,2
GRUPA RABEN,2
Cleeng sp. z o.o.,2
SoftSystem Sp. z o.o.,2
E Net Production Sp. z o.o.,2
Green Cell,2
G2A,2
Altkom Experts,2
Digital Colliers,2
InfiniteDATA,2
Handsoncode Sp. z o.o.,2
VECTRA S.A.,2
Sagenso,2
Kaczmarski Group,2
LegalZoom,2
ReadyCode.io,2
Reef Technologies,2
RPO Partners Sp. z o.o.,2
INFOBIP,2
PRINTU,2
PCMI,2
Sages,2
Kredyt Inkaso,2
QuarticON SA,2
Billon (Program Kariera),2
Amberlo,2
Innovation Software,2
Blazity,2
Atende Industries,2
RHINO,2
Media4U,2
skills matter,2
SAVENTIC HEALTH sp. z o.o.,2
Yanosik,2
SmartWays Recruitment,2
lemon.io,2
Deloitte Poland,2
Nsure.com,2
WB Electronics S.A.,2
Oponeo.pl,2
Product Brew,2
KLDiscovery,2
"DTP, Digital Technology Poland",2
Get IT Dan Sp. z o.o.,2
DELVE,2
Finastra,2
PIN-UP.TECH,2
Token Flow,2
Autodesk,2
Ocado Technology,2
Silevis Software,2
Epicode Sp. z o.o.,2
TP Servglobal Ltd,2
Finbi,2
Brainhub Sp. z. o. o.,2
hireplace.it,2
OSOM STUDIO,2
NordHR,2
Tapptic Poland,2
Perfect Gym Solutions,2
Eiffage Polska Serwis,2
ZEN.COM,2
Centrum e-Zdrowia,2
Espeo Software,2
Webanywhere sp. z o.o.,2
Allianz Polska,2
KRYPTON Polska,2
RedCompass Labs,2
FC.APP,1
CRYSTALCOMP,1
Hays Poland ,1
Odoo,1
Santander Consumer Bank,1
Dimedic Limited,1
180heartbeats / JvM,1
Upvanta sp. z o.o.,1
Comernal Software Sp. z o.o.,1
Posti,1
Tebim,1
Trust IT,1
VirtusLab,1
SIX,1
Softline Sp. z o.o.,1
WeLovePeople,1
Beesafe,1
BMS sp. z o.o.,1
Mood Up Team,1
North.pl,1
BT ELECTRONICS,1
THINK,1
Triso.pl,1
Hitachi Energy,1
Competera,1
Craon.pl,1
DevsData,1
Amer Sports,1
Satisfly,1
tonik,1
Froggly,1
Property Group Sp. z o.o.,1
FrontIT,1
InPost,1
Emplo,1
Uniqa,1
TECTOCOM,1
Fideli Sp. z o. o.,1
iTech Media,1
MAZAJ Poland,1
ElectroMobility Poland,1
BBK S.A.,1
March Networks Poland ,1
Beetroot,1
Marcel S.A.,1
ARRIS,1
HRose,1
Digital Fingerprints,1
New-Invest IT,1
Sunrise System sp. z o.o. sp. k.,1
Dealavo,1
hmmh Poland,1
Altkom Software & Consulting,1
Mobica,1
BEUMER Group Poland,1
Commoditech,1
Relativity,1
OVH,1
Fabrity Sp. z o.o.,1
CARET,1
Qodeca,1
Meant4.com,1
ATOMIS Elektronika,1
Orca,1
Emersoft LTD,1
Miro,1
rynekpierwotny.pl,1
Wavemaker,1
Technicus,1
S.E.R. Solutions Polska Sp. z o.o.,1
Shoper S.A.,1
KION Business Services Polska,1
Currenda,1
Olsys Ltd.,1
Incubly,1
Angry Nerds,1
Aptitude Software,1
Acclaim,1
Quantum,1
Wiley Edge,1
SellIntegro,1
Uber Poland,1
Agrest,1
PLAY (P4 Sp. z o.o.),1
M4 GROUP SP. Z O.O.,1
Silvair,1
gamigo group,1
IMS sensory media,1
Gemini Polska,1
Decathlon,1
4 o'clock Interactive,1
PDA IT Solutions,1
Neo-vinci Sp. z o.o.,1
Foodsi Sp. z o.o.,1
CrustLab,1
iteratec,1
ithouse,1
Alphamoon sp. z o.o.,1
Rocksoft,1
Avon Cosmetics Polska,1
Pragmatic Coders,1
PGE Systemy S.A.,1
Integral Solutions,1
zeroseven design studios,1
AUCTANE Poland,1
E-Instytucja.pl,1
Conectys,1
YozmaTech,1
ShiftKey,1
Vision RT,1
mElements,1
QAD Polska Sp. z o.o.,1
Radio Dla Ciebie,1
LangMedia Sp z o.o.,1
MH Sp. z o.o.,1
FrontiersMarket,1
Connecta Sp. z o.o.,1
ING Bank Śląski,1
dm-drogerie markt sp.z o.o.,1
CloudLinux,1
Soonly Finance,1
Northmill Bank AB,1
Sonel S.A.,1
ARP Ideas,1
Nanores,1
Exact Systems Sp. z o.o.,1
Parfum Company Sp. z o.o. S.K.A,1
Enigma SOI,1
Webactly,1
Pan Express sp. z o.o. sp. k.,1
Human Group,1
Semantive,1
ASC American Sun Components,1
Sitewerk AG,1
BUDIMEX,1
Timebook Software,1
Mobile Labs,1
Profil Software,1
Better Software Group S.A.,1
McCain Poland,1
Webanywhere,1
Able,1
Medidesk,1
Senovo-it,1
Shelf,1
Applause,1
Drata,1
Komex S.A.,1
SAFETEC Sp. z o.o.,1
Ardigen S.A.,1
Tivix Europe Sp. z o.o.,1
Smarttech247,1
Performance Media,1
Sentione,1
Platige Image,1
CONTELIZER,1
Wakacje.pl,1
Centrum Technologii Informatycznej,1
Master Care sp.z o.o.,1
Sunscrapers,1
CoinAPI.io,1
Prowly.com,1
Shapespark,1
Boosta,1
Pretius,1
LINK4 TU S.A.,1
TPG The Project Group,1
Grupa Blix,1
Devstyle,1
Finteum,1
Havi Service Hub Sp. z o.o.,1
Jungle,1
Infor,1
elo.city,1
RMEdison Sp. z o.o.,1
Jit Team,1
Nestle Polska,1
LINKSET sp. z o.o.,1
Housecall Pro,1
AmRest Sp. z o.o.,1
Jolera,1
Informatica Polska Sp. z o.o.,1
GTV Poland,1
cronn Polska,1
Exaco Sp. z o.o.,1
PragmaGO.tech,1
Smartheads,1
kicket.com,1
Asco Systemy Informatyczne,1
Merck Sp. z o.o.,1
Yacht Concept,1
Zynga,1
Bitcoin Technologies,1
Dragons Lake,1
Internetum Polska,1
LyondellBasell,1
Gravet Consulting,1
SPD-Ukraine,1
IT360,1
AWEX,1
Play,1
int2code GmbH,1
Optineo,1
Keen Software House,1
PTEROIS sp. z o.o.,1
Hakersi,1
TFO,1
ComScore,1
Infoprojekt sp. z o. o. enterprise,1
Stonly,1
Unity Group,1
Vasco Electronics,1
Centuria,1
ERLI,1
speedapp,1
Europa Systems,1
Brand Technology,1
Convertis sp. z o.o.,1
LTIMindtree,1
SuperControl,1
Philip Morris,1
Bertek,1
Vienna Insurance Group Polska Sp. z o.o.,1
Inkubit,1
KAZAR Group Sp. z o.o.,1
Masabi,1
Coffee Mug,1
Sdncenter,1
Giga Techspace,1
Play (P4 sp. z  o.o.),1
AppTailors,1
Fool's Theory,1
Meritus Systemy Informatyczne,1
Solteq Poland,1
deepsense.ai (Program Kariera),1
Soldevelo,1
SOFTIQ,1
SZOLC Sport Academy & Store,1
Paymento Financial S.A.,1
Ework Group,1
NTT DATA Business Solutionsp,1
Dolby Poland Sp. z o.o.,1
Sygnity,1
Lottomerkury Sp. z o.o.,1
blue veery,1
Ivision.pl,1
MAR-TOM,1
ClearLync,1
Finitec Sp. Z o.o.,1
C&F,1
Star Beta Poland,1
Asseco Business Solutions,1
Emerge Soft,1
Omega Code,1
MANGOPAY,1
Proptly,1
EXSO,1
Primesoft Polska,1
Lunching.pl,1
Selleo,1
Prognetics,1
Frends,1
Soneta Sp. z o.o.,1
ASDG,1
RD Projekt,1
SANDS Partners,1
Akademia Górniczo-Hutnicza w Krakowie,1
.mdd,1
Nova Tracking,1
ViewOne,1
HP,1
PRO MAGIS SP Z O O,1
AGORA S.A.,1
Wykop Sp. z o.o.,1
KALASOFT,1
WEBWIZARDS,1
CompanyHouse,1
ELTEL Networks Poland,1
GE HealthCare,1
WebCrafters,1
Verbum,1
Precisely,1
DB Schenker Technology Center,1
Comp S.A.,1
Harbingers,1
All Good S.A.,1
Codemask,1
S&K Solutions GmbH & co.KG,1
Codiway,1
Talentuno,1
Gamesture Sp. z o.o.,1
CRIDO,1
DPDgroup IT Solutions,1
Occubee,1
Gardocki Kancelaria,1
Fizz Sp. z o.o.,1
B3 Consulting Poland,1
Zyte,1
Xebia,1
Wave,1
Vue Storefront,1
4 PL Eastern Europe sp. z o.o.,1
optAd360,1
Cortlex,1
Surprise.com,1
Vistex Poland-CEE,1
NetworkedAssets,1
Schenker Technology Center Sp. z o.o.,1
Formel D,1
Savangard Sp. z o.o.,1
Rumble Fish Software Development,1
JohnnyBros,1
SHIFTR,1
Get Noticed Agency,1
Xceedance Consulting Polska Sp. z o.o.,1
Paymentology,1
Credit Suisse,1
TRASYS International,1
Danish Crown Operations,1
Diehl Metering,1
Codee,1
Reply_multi,1
GAMIVO S.A.,1
thyssenkrupp Group Services Gdańsk,1
TME Sp. z o.o.,1
Heidelberg Polska Sp. z o.o.,1
Aurora Creation,1
Oakfusion,1
Helpfind,1
Panda Group,1
Room 8 Group,1
HRnest Sp. z o.o.,1
Guestline,1
Satim,1
Centrum Medyczne CMP,1
Ramp,1
Vector Software,1
CBRE Business Services Organisation,1
Codahead,1
Axiom health,1
Kaliop Poland,1
Gemini Polska Sp. z o. o.,1
GroupIT,1
PSI Polska Sp. z o.o.,1
SALTUS Ubezpieczenia,1
Bluerank,1
Transition Technologies PSC,1
HERE Technologies,1
AnywhereWorks,1
FRU.PL,1
Vectra,1
FRIDAY Technology,1
Hello World! Sp. z o.o.,1
VM.PL Software House,1
Retailic,1
WIN LOCAL EUROPE,1
Focus Telecom Polska,1
Glimpse Analytics,1
INVO Technologies,1
Avra Software,1
Schenker Technology Center sp. z o.o.,1
PharmaPartner (Program Kariera),1
InfraByte,1
3Soft S.A.,1
Let's automate,1
Reffine,1
Stowarzyszenie Filmowców Polskich,1
Visartech Inc.,1
Squiz,1
Sideways 6,1
Yotta by Publicis Groupe,1
Vinted,1
WITU,1
Apptimia,1
L2Beat,1
Amaka,1
AP-Tech,1
MAKRO Cash & Carry Polska,1
OKTAN ENERGY & V/L SERVICE sp. z o.o.,1
Benefia Ubezpieczenia Sp. z o.o.,1
NorthGravity,1
Credit Agricole Bank Polska S.A.,1
Bee Talents,1
Rainbow Tours S.A.,1
Tedee,1
Mpower Plus,1
dogadamycie.pl,1
Roon Labs,1
Nord Security,1
Vic.ai,1
CCC,1
Happy Team,1
fast thinking,1
Macrobond Financial,1
Verisk Analytics,1
PRP Poland,1
Volkswagen Poznań,1
Euvic S.A.,1
Lumen,1
NoA Ignite (formerly Making Waves),1
iTechArt Group,1
RTCLab Sp. z o.o.,1
CRIF,1
MUSCODE Sp. z o. o.,1
Answear.com S.A.,1
Solwit SA,1
Lekta AI,1
Glorium Technologies,1
Mosaico,1
WEBCON Sp. z o.o.,1
RESPECT ENERGY (Program Kariera),1
ResoluteAI,1
Ntropy Network,1
Syberry,1
Measure Studio,1
Chainlink Labs,1
FedEx Dataworks,1
Orteh Sp. z o.o.,1
Crowe,1
Oferteo,1
BTC Software Systems Sp. z o.o.,1
Value Media,1
Smultron sp. z o.o.,1
Cyfrowa Foto Sp. zo.o.,1
